Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rigon, Arianna; Voss, Michelle; Turkstra, Lyn; Mutlu, Bilge; Duff, Melissa; ",Neural mechanism underlying facial affect recognition deficits in TBI: An FMRI study,BRAIN INJURY,31,6-7,942-942,2017,"TAYLOR & FRANCIS INC 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
"Liu, Oliver; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Understanding human-robot interaction in virtual reality,2017 26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,,751-757,2017,IEEE
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ",The influence of height in robot-mediated communication,2013 8th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,1-8,2013,IEEE
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ","In-body experiences: embodiment, control, and trust in robot-mediated communication",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,1921-1930,2013,
"Rae, Irene; Mutlu, Bilge; Takayama, Leila; ","Bodies in motion: mobility, presence, and task awareness in telepresence",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,2153-2162,2014,
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ",One of the gang: supporting in-group behavior for embodied mediated communication,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,3091-3100,2012,
"Johnson, Steven; Rae, Irene; Mutlu, Bilge; Takayama, Leila; ",Can you see me now? How field of view affects collaboration in robotic telepresence,Proceedings of the 33rd annual acm conference on human factors in computing systems,,,2397-2406,2015,
"Huang, Chien-Ming; Mutlu, Bilge; ",The repertoire of robot behavior: Designing social behaviors to support human-robot joint activity,Journal of Human-Robot Interaction,2,2,80-102,2013,
"Mutlu, Bilge; Andrist, Sean; Sauppé, Allison; ",Enabling human-robot dialogue,Robots that Talk and Listen. Berlin: De Gruyter,,,81-124,2015,
"Rae, Irene; Mutlu, Bilge; Olson, Gary M; Olson, Judith S; Takayama, Leila; Venolia, Gina; ",Everyday telepresence: Emerging practices and future research directions,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,,,2409-2412,2015,
"Mutlu, Bilge Dinçer; ",Tasarım Yeniliği İçin Kullanıcı Merkezli Yeni Yöntemler: Yeni Ortaya Çıkan Yöntemlerin Yenilikçi Ürün Tasarımı Ve Geliştirmedeki Rolü Üzerine Bir Çalışma,,,,,2003,Fen Bilimleri Enstitüsü
"Choi, Mina; Kornfield, Rachel; Takayama, Leila; Mutlu, Bilge; ",Movement matters: effects of motion and mimicry on perception of similarity and closeness in robot-mediated communication,Proceedings of the 2017 CHI conference on human factors in computing systems,,,325-335,2017,
